Entity,Date,Beta,Susceptible
Israel,19/03/2020,0.058580697148438804,0.999944544
Israel,21/03/2020,0.045638913239825864,0.999912478
Israel,23/03/2020,0.02936464272015589,0.999863689
Israel,25/03/2020,0.015243636840899718,0.999782517
Israel,27/03/2020,0.010903807712506685,0.999682824
Israel,29/03/2020,0.017437171855819864,0.999586835
Israel,31/03/2020,0.028157009501154618,0.999472748
Israel,02/04/2020,0.03338961359697154,0.99932141
Israel,04/04/2020,0.02797237315634717,0.999181289
Israel,06/04/2020,0.01908891192246131,0.999074294
Israel,08/04/2020,0.013394616476506962,0.998986983
Israel,10/04/2020,0.011815872408586826,0.998915017
Israel,12/04/2020,0.014430149141141888,0.998841253
Israel,14/04/2020,0.015551083752745323,0.998736692
Israel,16/04/2020,0.012786164954028463,0.998662821
Israel,18/04/2020,0.011309396654784634,0.998600063
Israel,20/04/2020,0.010424467639230425,0.998540586
Israel,22/04/2020,0.00413651377117772,0.998479627
Israel,24/04/2020,0.0024642094117429928,0.998426712
Israel,26/04/2020,0.008172041705788367,0.998383427
Israel,28/04/2020,0.016826126437290673,0.998361308
Israel,30/04/2020,0.026052057489202918,0.998335591
Israel,02/05/2020,0.026324709500993103,0.998308181
Israel,04/05/2020,0.031573541723463876,0.998299397
Israel,06/05/2020,0.03996901295807733,0.998290084
Israel,08/05/2020,0.049170893978429005,0.998276749
Israel,10/05/2020,0.04499700049049224,0.99827114
Israel,12/05/2020,0.04071183705930851,0.998263943
Israel,14/05/2020,0.04188936510211574,0.998257382
Israel,16/05/2020,0.05236593742852818,0.998253783
Israel,18/05/2020,0.062165141009471986,0.998251667
Israel,20/05/2020,0.06474004880468309,0.998246481
Israel,22/05/2020,0.06771483611378856,0.998242989
Israel,24/05/2020,0.07990289722969203,0.998240449
Israel,26/05/2020,0.08775308846723659,0.998236745
Israel,28/05/2020,0.0810297626173977,0.99822722
Israel,30/05/2020,0.06642197277137052,0.998207112
Israel,01/06/2020,0.056073259536863526,0.998194835
Israel,03/06/2020,0.05918040891401739,0.998171341
Israel,05/06/2020,0.07328246800683937,0.998146153
Israel,07/06/2020,0.08679528638184021,0.998124458
Israel,09/06/2020,0.08373346313745626,0.998090697
Israel,11/06/2020,0.07216398493275203,0.998046777
Israel,13/06/2020,0.06927635609267818,0.998006879
Israel,15/06/2020,0.07675241179378439,0.997976611
Israel,17/06/2020,0.08384481375254615,0.997924013
Israel,19/06/2020,0.08396243954351854,0.997863583
Israel,21/06/2020,0.07894479692394055,0.997813737
Israel,23/06/2020,0.07047260227648967,0.997758916
Israel,25/06/2020,0.0633912812597279,0.997659752
Israel,27/06/2020,0.06154222329946397,0.997556144
Israel,29/06/2020,0.06138533930495695,0.997473595
Israel,01/07/2020,0.060873512689458405,0.997309768
Israel,03/07/2020,0.05868237729759339,0.997085512
Israel,05/07/2020,0.05520061491309642,0.996899249
Israel,07/07/2020,0.049378283079462834,0.996692666
Israel,09/07/2020,0.043355230716131496,0.996405651
Israel,11/07/2020,0.0418794896426287,0.996096201
Israel,13/07/2020,0.04207327889471101,0.995841782
Israel,15/07/2020,0.04113154208674162,0.995490634
Israel,17/07/2020,0.03910577059150869,0.995087522
Israel,19/07/2020,0.03678179326026945,0.994765266
Israel,21/07/2020,0.039400096580996,0.994458038
Israel,23/07/2020,0.044191325712580144,0.994030162
Israel,25/07/2020,0.04667075356982011,0.993626839
Israel,27/07/2020,0.046248990234281646,0.993399302
Israel,29/07/2020,0.043671172348047106,0.992958197
Israel,31/07/2020,0.041844239970001536,0.99256207
Israel,02/08/2020,0.045300453592477745,0.992352418
Israel,04/08/2020,0.047556085795798994,0.992087099
Israel,06/08/2020,0.047074386386791206,0.991726214
Israel,08/08/2020,0.047010062380647324,0.991362684
Israel,10/08/2020,0.04902737381996801,0.991185311
Israel,12/08/2020,0.05061369517316683,0.990812996
Israel,14/08/2020,0.05217737031027318,0.990468409
Israel,16/08/2020,0.05439912651249182,0.990241613
Israel,18/08/2020,0.057674801789067254,0.989953963
Israel,20/08/2020,0.059998614854250835,0.989606519
Israel,22/08/2020,0.062146807551832994,0.989291565
Israel,24/08/2020,0.06383760601856235,0.989114404
Israel,26/08/2020,0.06356170556998368,0.988706106
Israel,28/08/2020,0.06221754395182746,0.988273256
Israel,30/08/2020,0.06149412077567434,0.987983279
Israel,01/09/2020,0.061306289462079715,0.98763721
Israel,03/09/2020,0.056441896944295335,0.987060747
Israel,05/09/2020,0.052019794164366646,0.986501111
Israel,07/09/2020,0.05493065733814945,0.986111758
Israel,09/09/2020,0.05966284586796962,0.985384485
Israel,11/09/2020,0.0544203576811398,0.984522701
Israel,13/09/2020,0.047206209405712914,0.983814689
Israel,15/09/2020,0.04133266524542143,0.982970685
Israel,17/09/2020,0.03754105147309627,0.981902318
Israel,19/09/2020,0.03814362679579183,0.980768759
Israel,21/09/2020,0.030600656700795054,0.980093026
Israel,23/09/2020,0.022115310929705145,0.978940734
Israel,25/09/2020,0.021376890196178902,0.977310932
Israel,27/09/2020,0.02253327634798495,0.975801355
Israel,29/09/2020,0.018343378244088323,0.975315801
